id,hmdb_id,name
0,HMDB0061115,
1,HMDB0000123,Kynurenine
2,HMDB0000705,L-Tyrosine
3,HMDB0000131,Isoleucine
4,HMDB0000715,Lactic acid
5,HMDB0000161,Alanine
6,HMDB0000190,SM(d18:1/22:1(13Z))
7,HMDB0000918,threonate
8,HMDB0061700,(S)-3-Hydroxyisobutyric acid
9,HMDB0000158,D-Glutamic acid
10,HMDB0013678,4-hydroxyhippurate
11,HMDB0000885,cholesteryl oleate
12,HMDB0000943,mannose
13,HMDB0000232,Caproylcarnitine
14,HMDB0033704,Galactonic acid (galactonate derivative)
15,HMDB0003075,quercetin
16,HMDB0000510,Phenylalanine
17,HMDB0000289,Glycine
18,HMDB0003072,
19,HMDB0000641,Glutamine
20,HMDB0013677,Alkylresorcinols
21,HMDB0000925,Trimethylamine-N-oxide (TMAO)
22,HMDB0061712,Benzaldehyde
23,HMDB0029965,lactate
24,HMDB0006115,Benzoic acid
26,HMDB0001310,L-Carnitine
27,HMDB0000023,3-Methyl-2-oxovaleric acid
28,HMDB0001860,paraxanthine
29,HMDB0000168,Asparagine
30,HMDB0003265,Hesperidin
31,HMDB0004461,"LysoPC(0:0/18:2(9Z,12Z))"
32,HMDB0000532,Benzamide
33,HMDB0000716,fumarate
34,HMDB0001999,Eicosapentaenoic acid
35,HMDB0094687,Octadecenoylcarnitine
36,HMDB0000193,Glycerol
37,HMDB0029739,Indole-3-acetamide
38,HMDB0033584,diethyl tartrate (may be different than pure tartrate)
39,HMDB0000210,Pyroglutamic acid
40,HMDB0062781,Propionylcarnitine
41,HMDB0000714,Hippurate
42,HMDB0255895,Octadecadienylcarnitine
43,HMDB0000169,2-hydroxybutyrate
44,HMDB0000725,4-Hydroxyproline
45,HMDB0000267,Methyl Beta-D-glucopyranoside
46,HMDB0000201,L-Acetylcarnitine
47,HMDB0013132,Hydroxyvalerylcarnitine (Methylmalonylcarnitine)
48,HMDB0000684,D-Mannose
49,HMDB0000194,Anserine
50,HMDB0000062,Lathosterol
51,HMDB0000001,1-Methylhistidine
52,HMDB0006095,Sulforaphane
53,HMDB0000122,Pantothenate
54,HMDB0004044,N6-methyladenosine
55,HMDB0000008,Valine
